dataset_qna,
Hallo Stella AI,"Hii juga, gimana nih apakah ada yang ingin di tanyakan seputar SMK Telkom Lampung?"
Apa itu SMK Telkom Lampung?,SMK Telkom Lampung adalah sekolah menengah kejuruan yang fokus pada pendidikan vokasi di bidang teknologi informasi dan komunikasi (TIK) di Lampung.
Dimana alamat SMK Telkom Lampung?,"Alamat lengkap: J3GJ+52W, Jl. Raya Gadingrejo, Gading Rejo, Kec. Gading Rejo, Kabupaten Pringsewu, Lampung 35372, Indonesia. Untuk lebih lengkap bisa kunjungi Google Maps : https://maps.app.goo.gl/NjS1zx7gK7kn9DZx8"
Bagaimana cara mendaftar di SMK Telkom Lampung?,"Umumnya pendaftaran dilakukan dengan mengisi formulir pendaftaran (online atau offline), melengkapi dokumen persyaratan, mengikuti seleksi administrasi dan tes wawancara. Cek pengumuman resmi untuk prosedur terkini. Bisa kunjungi website https://ppdb.smktelkom-lpg.sch.id/"
Kapan pendaftaran dibuka?,Pendaftaran Seleksi Penerimaan Murid Baru (SPMB) SMK Telkom Lampung untuk tahun ajaran 2026/2027 Gelombang 1 sudah dibuka sejak Oktober 2025.
Siapa kepala sekolah SMK Telkom Lampung?,"Kepala Sekolah SMK Telkom Lampung adalah Dedi Eko Cahyono, S. Kom, G.r"
Apa saja jurusan yang tersedia di SMK Telkom Lampung?,"Jurusan di SMK Telkom umumnya berfokus pada bidang TIK, contohnya: Teknik Komputer dan Jaringan (TKJ), Rekayasa Perangkat Lunak (RPL), Animasi (ANIMASI), Teknik Jaringan Akses Telekomunikasi (TJAT)."
Berapa biaya pendaftaran?,Umumnya untuk Biaya Pendaftaran di awal sekitar (Rp.75.000 - Rp.100.000)
Apa persyaratan masuk SMK Telkom Lampung?,"Persyaratan umum meliputi fotokopi ijazah/rapor SMP, akta kelahiran, pas foto, Nilai raport SMT1 s.d SMT5, NISN, dan dokumen identitas orang tua/wali. Persyaratan spesifik bisa berbeda tiap tahun."
Apakah ada beasiswa untuk siswa?,"Ya, tersedia berbagai peluang beasiswa bagi siswa SMK Telkom Lampung, terutama untuk melanjutkan pendidikan ke jenjang perguruan tinggi di bawah naungan Yayasan Pendidikan Telkom (seperti Telkom University). Salah satu yang utama adalah Beasiswa OPES (One Pipe Education System)."
Bagaimana kurikulum di SMK Telkom Lampung?,"Kurikulum di SMK Telkom Lampung mengintegrasikan kurikulum nasional dengan standar industri (link and match), berfokus pada keahlian teknologi informasi, praktik langsung, dan pembentukan karakter. Kurikulum ini dirancang agar lulusan siap kerja, berwirausaha, atau melanjutkan studi dengan pengayaan bahasa Inggris, sertifikasi kompetensi, serta pemanfaatan teknologi terkini. "
Apakah siswa mengikuti Praktik Kerja Lapangan (PKL)?,Ya — siswa umumnya mengikuti PKL/magang di perusahaan atau mitra industri untuk menerapkan keterampilan praktiknya.
Apa fasilitas yang tersedia di sekolah?,"Fasilitas umum biasanya meliputi laboratorium komputer, ruang multimedia, workshop/praktikum, perpustakaan digital, fasilitas olahraga, Gedung sekolah megah, Internet gratis berkecepatan tinggi, Ruang kelas full AC, Ruang kelas digital, Tersedia Smart TV di setiap kelas, Papan tulis menggunakan Glassboard, Toilet bersih dan sehat, Sistem informasi management siswa, Penyimpanan cloud untuk siswa, Lisensi Microsoft untuk siswa, Tersedia Payment Gateway."
Bagaimana jam belajar di SMK Telkom Lampung?,"Jam pelajaran berbeda-beda tergantung jadwal dan hari, umumnya untuk Hari Senin dari jam 07:30 s.d 15:45, untuk Hari Selasa s.d Kamis dari jam 07:30 s.d 16:00, dan untuk Hari Jumat dari jam 07:30 s.d 15:30."
Bagaimana cara menghubungi SMK Telkom Lampung?,"Hubungi melalui nomor telepon atau email resmi sekolah yaitu admin@smktelkom-lpg.sch.id, atau kunjungi https://smktelkom-lpg.sch.id/ . (+62 8117 2088 14)"
Apakah ada kegiatan ekstrakurikuler?,"Ada berbagai ekstrakurikuler seperti OSIS, Pramuka, IT Club, Basket, Pencak Silat, dan Seni tari. Tentu saja masih banyak lagi."
Bagaimana prospek kerja lulusan SMK Telkom Lampung?,"Lulusan umumnya siap kerja di bidang TIK: menjadi teknisi jaringan, programmer, web developer, multimedia designer, atau melanjutkan studi vokasi/akademik."
Apakah sekolah menyediakan sertifikasi industri?,"Ya, SMK Telkom Lampung menyediakan sertifikasi industri dan kelas industri sebagai bagian dari kurikulumnya, termasuk kemitraan dengan Gamelab Indonesia (PT Educa Sisfomedia Indonesia)."
